Airline,Source,Destination,Duration,Total_Stops,Price,Month,Day_Name
IndiGo,Banglore,New Delhi,169.8,0,3897.0,March,Sunday
Air India,Kolkata,Banglore,445.2,2,7662.0,May,Wednesday
Jet Airways,Delhi,Cochin,1140.0,2,13882.0,June,Sunday
IndiGo,Kolkata,Banglore,325.2,1,6218.0,May,Sunday
IndiGo,Banglore,New Delhi,285.0,1,13302.0,March,Friday
SpiceJet,Kolkata,Banglore,145.2,0,3873.0,June,Monday
Jet Airways,Banglore,New Delhi,930.0,1,11087.0,March,Tuesday
Jet Airways,Banglore,New Delhi,1264.8,1,22270.0,March,Friday
Jet Airways,Banglore,New Delhi,1530.0,1,11087.0,March,Tuesday
Multiple carriers,Delhi,Cochin,469.8,1,8625.0,May,Monday
Air India,Delhi,Cochin,795.0,1,8907.0,June,Saturday
IndiGo,Kolkata,Banglore,154.8,0,4174.0,April,Thursday
Air India,Chennai,Kolkata,135.0,0,4667.0,June,Monday
Jet Airways,Kolkata,Banglore,730.2,1,9663.0,May,Thursday
IndiGo,Kolkata,Banglore,154.8,0,4804.0,April,Wednesday
Air India,Delhi,Cochin,1594.8,2,14011.0,March,Sunday
SpiceJet,Delhi,Cochin,270.0,1,5830.0,April,Monday
Jet Airways,Delhi,Cochin,1354.8,1,10262.0,June,Wednesday
Air India,Delhi,Cochin,1380.0,2,13381.0,June,Wednesday
Jet Airways,Delhi,Cochin,1234.8,1,12898.0,May,Monday
GoAir,Delhi,Cochin,310.2,1,19495.0,March,Wednesday
Air India,Banglore,New Delhi,919.8,1,6955.0,March,Thursday
IndiGo,Banglore,Delhi,169.8,0,3943.0,April,Wednesday
IndiGo,Banglore,Delhi,175.2,0,4823.0,May,Wednesday
Jet Airways,Kolkata,Banglore,799.8,1,7757.0,May,Monday
Jet Airways,Delhi,Cochin,910.2,2,13292.0,June,Sunday
IndiGo,Delhi,Cochin,345.0,1,8238.0,June,Saturday
GoAir,Delhi,Cochin,355.2,1,7682.0,May,Wednesday
Vistara,Banglore,Delhi,169.8,0,4668.0,June,Tuesday
Vistara,Chennai,Kolkata,135.0,0,3687.0,June,Saturday
Vistara,Chennai,Kolkata,135.0,0,3687.0,June,Tuesday
Air India,Kolkata,Banglore,805.2,2,13227.0,May,Wednesday
IndiGo,Banglore,Delhi,169.8,0,4423.0,April,Saturday
Jet Airways,Delhi,Cochin,1320.0,2,10919.0,June,Saturday
Jet Airways,Delhi,Cochin,330.0,1,12373.0,May,Saturday
IndiGo,Delhi,Cochin,625.2,1,5894.0,June,Thursday
SpiceJet,Kolkata,Banglore,315.0,1,4649.0,May,Tuesday
Air India,Kolkata,Banglore,150.0,0,6245.0,May,Saturday
Jet Airways,Banglore,New Delhi,375.0,1,19225.0,March,Wednesday
Jet Airways,Delhi,Cochin,715.2,1,14924.0,June,Monday
Multiple carriers,Delhi,Cochin,664.8,1,9646.0,May,Tuesday
Air India,Banglore,New Delhi,510.0,1,8714.0,March,Friday
Jet Airways,Delhi,Cochin,1324.8,1,12373.0,May,Saturday
Air Asia,Banglore,Delhi,165.0,0,3383.0,May,Monday
Multiple carriers,Delhi,Cochin,720.0,1,13062.0,March,Thursday
